Adjusted_Net_Capital,Net_Capital__Requirement,Excess__Net_Capital,Customers_Assets_in_Seg,Customers_Seg_Required_4d_a_2,ExcessDeficient_Funds_in_Seg,Target_Residual_Interest_in_Seg,Funds_in_Separate_Section_30_7_Accounts,Customer_Amount_Pt_30_Required,ExcessDeficient_Funds_in_Separate_Section_30_7_Accounts,Target_Residual_Interest_in_Section_30_7,Funds_in_Separate_Cleared_Swap_Segregation,Customer_Amount_Cleared_Swap_Seg_Required,ExcessDeficient_Funds_in_Cleared_Swap_Seg_Accounts,Target_Residual_Interest_in_Cleared_Swap_Seg,Total_Amount_of_Retail_Forex_Obligation
942419825,273903277,668516548,5023112030,4377858785,645253245,350000000,198955904,163406893,35549011,15000000,0,0,0,0,0
484368905,380627966,103740939,8067543085,7946249333,121293752,75000000,336447344,305837904,30609440,15000000,0,0,0,0,0
39929081,23572514,16356567,627501432,613890416,13611016,7500000,121196107,116209598,4986509,1000000,0,0,0,0,0
16948430,5000000,11948430,99387845,82320588,17067257,1200000,2240942,1864417,376525,150000,0,0,0,0,0
492231755,39242062,452989693,167366729,139406184,27960545,15000000,0,0,0,0,0,0,0,0,0
7906888532,3333723500,4573165032,18795767246,18134033181,661734065,360000000,5957490475,5606913756,350576719,100000000,21402923611,20904736385,498187226,150000000,0
1637597,1000000,637597,912971,360872,552099,100000,0,0,0,0,0,0,0,0,0
4197463763,1265315483,2932148280,9842480346,8661534889,1180945457,570000000,1187694606,650469189,537225417,210000000,4000245081,3612586699,387658382,165000000,0
22681522572,5125858431,17555664141,33051215083,31915960149,1135254934,525000000,5525994410,5249538214,276456196,150000000,21488000782,21263802707,224198075,150000000,0
456413928,4135273,452278655,5602587,0,5602587,3000000,0,0,0,0,0,0,0,0,0
292202388,51750397,240451991,1146908785,989624759,157284026,100000000,0,0,0,0,0,0,0,0,61232803
96321537,9103703,87217834,138534844,67144803,71390041,24300000,1646697,0,1646697,200000,549921,0,549921,120000,0
17749789572,5662191174,12087598398,21146083359,20595671972,550411387,387800000,5167010493,4836754437,330256056,173600000,31070815861,30430662513,640153348,452200000,0
653425953,106591285,546834668,1421226889,1383691782,37535107,7050000,1960170,595302,1364868,500000,0,0,0,0,0
39250433,6748581,32501852,187880997,147179887,40701110,15000000,0,0,0,0,0,0,0,0,0
114199665,1500000,112699665,0,0,0,0,0,0,0,0,0,0,0,0,0
1374728388,1500000,1373228388,136570,0,136570,1,483733,0,483733,1,0,0,0,0,0
3029598377,350809548,2678788829,3932720676,3781297694,151422982,100000000,1401926061,1300893247,101032814,50000000,178998845,146328628,32670217,10000000,0
18028495,3882102,14146393,79121598,70506832,8614766,2500000,3189676,1778331,1411345,1000000,0,0,0,0,0
27915940,3761180,24154760,338286184,327822641,10463543,2000000,4378793,3217412,1161381,200000,0,0,0,0,0
71748734,5764192,65984542,150450595,86555900,63894695,11000000,0,0,0,0,0,0,0,0,0
2189049,1000000,1189049,0,0,0,0,0,0,0,0,0,0,0,0,0
61855169,30383515,31471654,0,0,0,0,0,0,0,0,0,0,0,0,217670307
31856887,22576999,9279888,299042523,282292008,16750515,7000000,19282407,15802610,3479797,730000,0,0,0,0,0
21903581665,5859331584,16044250081,41108091171,40148460702,959630469,775000000,9675962356,9089664760,586297596,475000000,24006909061,23419386380,587522681,350000000,0
264096379,30600701,233495678,621162372,592904169,28258203,8900000,0,0,0,0,0,0,0,0,0
1559425752,635233956,924191796,5349034757,5168243899,180790858,148000000,510861767,458453521,52408246,15000000,1815290018,1699257989,116032029,78000000,0
10431004743,1449625653,8981379090,10166079791,9847025894,319053897,155000000,776457803,649062787,127395016,80000000,21019907,17522985,3496922,2000000,33353460
19922879,6203812,13719067,191706777,173666213,18040564,1600000,562581,87411,475170,150000,0,0,0,0,0
2204514646,143196761,2061317885,0,0,0,0,0,0,0,0,0,0,0,0,0
25939089686,7048389565,18890700121,72540170335,69992279877,2547890458,1609822437,7706635192,7178262192,528373000,287130488,22936676479,21925661228,1011015251,591992853,0
12321328,1000000,11321328,51248,5000,46248,20000,40010,0,40010,20000,0,0,0,0,0
499000434,376689459,122310975,4324976199,4117264342,207711857,85000000,442859136,397996038,44863098,7000000,659852,0,659852,250000,0
749455808,486494224,262961584,8981504904,8842300962,139203942,75000000,297625655,272435498,25190157,8000000,81599590,58770572,22829018,2000000,0
14015900,1764764,12251136,354942985,331291329,23651656,18000000,2692013,0,2692013,1000000,0,0,0,0,0
116791307,5000000,111791307,0,0,0,0,0,0,0,0,0,0,0,0,0
15573642,2859146,12714496,30328436,13041919,17286517,5138000,0,0,0,0,0,0,0,0,0
2369666,1000000,1369666,0,0,0,0,0,0,0,0,0,0,0,0,0
1471244799,442086880,1029157919,8156289156,7819850695,336438461,150000000,1640055797,1507313481,132742316,70000000,22900217,0,22900217,10000000,0
18679250327,5364412116,13314838211,33347390915,32838145649,509245266,235000000,8852686189,8625794633,226891556,140000000,30777600914,30454190909,323410005,112000000,0
62241559,25570853,36670706,635304986,584051777,51253209,3500000,848182,182736,665446,100000,0,0,0,0,0
619998638,1783579,618215059,7508072,0,7508072,5000000,0,0,0,0,0,0,0,0,0
33496878,1000000,32496878,307049003,274112499,32936504,4000000,3024071,1464052,1560019,400000,0,0,0,0,0
2411734240,153620743,2258113497,139696303,85189155,54507148,15000000,1250000,0,1250000,1000000,0,0,0,0,0
41209845,27293969,13915876,0,0,0,0,0,0,0,0,0,0,0,0,148444226
127520113,57948489,69571624,956912913,898759964,58152949,18500000,40020560,31993859,8026701,1000000,0,0,0,0,0
117333337,47928062,69405275,1200804105,1113819734,86984371,11800000,1418720,347212,1071508,100000,0,0,0,0,0
1769546939,768375915,1001171024,5245425933,4678140414,567285519,360000000,879800461,644384469,235415992,60000000,3186375526,2642790214,543585312,200000000,0
371759523,273325208,98434315,5868214695,5593507758,274706937,50000000,233030028,199305057,33724971,20000000,0,0,0,0,0
55948172,5891165,50057007,96217629,90645287,5572342,3500000,54,0,54,1,39748037,19470159,20277878,1000000,0
483140662,228439164,254701498,3210513680,3072412692,138100988,85000000,1002326,0,1002326,1000000,0,0,0,0,0
1511854844,131487110,1380367734,0,0,0,0,0,0,0,0,0,0,0,0,0
5844204987,2287009075,3557195912,23351243210,22888890803,462352407,200000000,7574913594,7168876778,406036816,200000000,2466346522,2244816928,221529594,80000000,0
537975618,339476140,198499478,6615984116,6530878426,85105690,60000000,255365195,242645658,12719537,6000000,0,0,0,0,0
47758944,20000000,27758944,538588083,514063239,24524844,2000000,22040987,12217382,9823605,300000,0,0,0,0,0
63443908,21665968,41777940,0,0,0,0,0,0,0,0,0,0,0,0,43319363
217392269,10769374,206622895,830908894,769298487,61610407,9000000,21537694,16690682,4847012,800000,0,0,0,0,0
22809996,20000000,2809996,0,0,0,0,0,0,0,0,0,0,0,0,2555987
1154747348,133725585,1021021763,246048664,158134186,87914478,35000000,39149539,697952,38451587,15000000,0,0,0,0,0
4182284062,1016244224,3166039838,7931970431,7627790875,304179556,150000000,1792268006,1635711500,156556506,75000000,1153077293,896095808,256981485,125000000,0
190108536,14080992,176027544,40836554,31636634,9199920,1898198,0,0,0,0,1628463,15172,1613291,250000,0
238353457,86457468,151895989,2277779786,2236855235,40924551,25000000,13425474,10562832,2862642,1000000,0,0,0,0,0
9347498139,1918176544,7429321595,9001839614,8468406069,533433545,135000000,344634935,242155663,102479272,25000000,16435160597,15674249790,760910807,510000000,0
