Lat,Lon,VSM,TAV,TAH,Tsoil,Tveg,VWC,S%,C%,VSM_err
49.3649,-98.1198,0.2081,274.01,247.07,19.6,19.6,1.82,0.54,0.32,0.0143
49.3649,-98.1146,0.2388,273.94,248.36,19.6,19.6,2.26,0.54,0.33,0.0175
49.3649,-98.1094,0.3084,272.24,250.78,19.6,19.6,2.61,0.48,0.38,0.0242
49.3649,-98.1043,0.3846,271.37,252.52,19.6,19.6,2.99,0.39,0.44,0.0442
49.3649,-98.0991,0.3274,272.44,252.53,19.6,19.6,2.54,0.27,0.52,0.0267
49.3649,-98.0939,0.2738,274.2,250.55,19.6,19.6,1.79,0.18,0.59,0.0164
49.3649,-98.0887,0.2542,275.16,247.23,19.6,19.6,1.31,0.13,0.63,0.0199
49.3649,-98.0835,0.2312,274.48,244.52,19.6,19.6,0.86,0.15,0.61,0.0161
49.3649,-98.0783,0.2381,274.06,243.92,19.6,19.6,0.9,0.15,0.61,0.0127
49.3649,-98.0731,0.2384,275.21,246.08,19.6,19.6,1.29,0.16,0.61,0.0236
49.3649,-98.0679,0.2513,275.73,248.61,19.6,19.6,1.72,0.14,0.62,0.0154
49.3649,-98.0628,0.2893,275.42,249.27,19.6,19.6,2.31,0.1,0.65,0.0158
49.3649,-98.0576,0.3238,275.13,249.57,19.6,19.6,2.87,0.1,0.65,0.0223
49.3649,-98.0524,0.3113,275.43,250.28,19.5,19.5,3.0,0.11,0.64,0.0278
49.3649,-98.0472,0.2885,276.4,250.94,19.5,19.5,3.09,0.12,0.62,0.0245
49.3649,-98.042,0.2677,277.19,250.94,19.5,19.5,2.95,0.13,0.61,0.0195
49.3649,-98.0368,0.2637,277.84,251.2,19.5,19.5,2.95,0.13,0.61,0.02
49.3649,-98.0316,0.2774,276.95,251.4,19.5,19.5,2.8,0.12,0.63,0.0247
49.3649,-98.0265,0.2991,274.12,250.13,19.5,19.5,2.32,0.11,0.64,0.0199
49.3649,-98.0213,0.2998,272.12,248.14,19.5,19.5,1.91,0.1,0.65,0.0164
49.3649,-98.0161,0.2774,272.29,247.52,19.5,19.5,1.34,0.1,0.65,0.0213
49.3649,-98.0109,0.2588,273.84,248.21,19.5,19.5,1.11,0.11,0.64,0.0179
49.3649,-98.0057,0.2378,275.79,249.09,19.5,19.5,1.47,0.15,0.59,0.0207
49.3649,-98.0005,0.2287,277.38,249.85,19.6,19.6,2.0,0.16,0.57,0.0135
49.3649,-97.9953,0.2243,278.83,250.47,19.6,19.6,2.5,0.16,0.57,0.0122
