GWEIGHT,ca720,vs.,ca701,ca721,vs..1,ca702,aj307,vs..2,aj308,aj305,vs..3,aj306,aj303,vs..4,aj304,ca753,vs..5,ca752,ca755,vs..6,ca754,ca775,vs..7,ca774,ca789,vs..8,ca788,ca791,vs..9,ca790,ca827,vs..10,ca826,ca841,vs..11,ca840,ca843,vs..12,ca842,ca884,vs..13,ca881,ca931,vs..14,ca930,ca951,vs..15,ca950,ca994,vs..16,ca993,ds720,vs..17,ds719,ca926,vs..18,ca927,ds798,vs..19,ds797,ds800,vs..20,ds799
1.0,-0.076,0.019,0.065,0.011,0.04,0.076,-0.022,-0.039,0.031,0.018,0.076,-0.012,-0.033,-0.038,-0.008,-0.03,0.021,-0.009,0.075,-0.014,-0.008,0.031,-0.005,0.001,0.028,0.015,0.002,-0.011,0.078,-0.076,0.019,0.019,0.031,-0.022,-0.039,0.012,0.007,0.002,0.058,0.022,-0.004,0.004,0.052,-0.015,-0.006,0.019,-0.207,-0.01,-0.002,0.011,0.014,0.016,0.016,-0.008,-0.043,0.025,0.011,-0.03,-0.065,-0.029,-0.003,0.031,-0.038
1.0,0.278,0.158,0.012,-0.082,-0.028,0.047,0.011,0.022,0.068,-0.049,-0.058,0.018,-0.125,-0.187,-0.013,-0.008,-0.017,-0.027,-0.02,0.059,-0.002,0.121,0.078,-0.047,0.024,0.017,-0.006,-0.021,-0.043,-0.028,-0.009,-0.03,-0.141,-0.044,-0.081,0.0,0.027,-0.031,0.044,0.017,0.023,0.026,-0.041,0.007,0.016,0.026,-0.06,-0.067,0.058,0.023,-0.012,-0.037,-0.019,0.01,0.01,-0.016,-0.048,-0.025,0.01,0.045,-0.057,-0.017,0.097
1.0,0.102,0.074,0.026,-0.021,-0.003,0.014,-0.051,0.04,0.019,0.001,-0.001,0.026,0.012,0.068,0.006,0.096,0.017,0.009,-0.079,0.011,0.062,0.07,0.016,0.03,-0.01,0.004,-0.03,-0.114,-0.042,-0.014,-0.033,-0.046,0.027,0.053,-0.004,-0.023,0.047,0.019,-0.021,-0.02,-0.081,-0.036,0.015,-0.104,-0.048,-0.055,-0.023,-0.041,-0.02,-0.012,-0.088,-0.043,-0.041,0.032,-0.043,0.036,-0.063,0.031,-0.048,0.09,0.024,-0.015,0.056
0.5,-0.022,-0.061,-0.049,0.014,-0.082,-0.016,0.072,-0.021,0.014,-0.006,-0.087,0.039,0.156,-0.026,0.029,0.096,-0.022,0.04,-0.03,0.053,0.051,0.07,0.002,-0.064,0.014,0.087,-0.017,-0.003,-0.083,-0.017,0.016,-0.047,-0.007,0.025,0.01,0.007,-0.05,-0.16,-0.159,0.093,0.028,-0.027,-0.026,-0.07,-0.091,0.04,-0.089,-0.08,0.041,-0.017,-0.107,-0.092,-0.057,0.09,0.041,-0.077,0.002,0.034,-0.03,0.107,-0.021,-0.058,-0.053
1.0,0.072,0.029,0.004,0.029,0.021,-0.024,-0.007,0.155,-0.211,0.068,0.108,-0.117,-0.033,-0.04,0.077,0.129,-0.027,0.037,-0.036,0.049,0.028,0.042,-0.014,-0.005,-0.028,0.036,-0.005,-0.031,-0.037,0.026,0.037,-0.055,0.028,0.031,0.035,0.029,-0.059,-0.115,-0.012,0.103,-0.021,-0.025,0.089,-0.07,-0.022,0.004,-0.002,-0.037,-0.052,-0.06,-0.033,-0.006,-0.035,0.089,0.01,-0.044,-0.001,0.028,-0.01,0.085,0.008,-0.005,0.024
1.0,0.028,-0.005,0.019,0.001,-0.02,-0.006,-0.037,0.043,0.008,0.005,0.06,-0.001,-0.042,-0.019,0.022,0.031,0.026,0.009,-0.017,-0.014,-0.008,-0.009,-0.028,-0.008,-0.021,0.003,0.005,0.019,-0.021,-0.028,0.023,-0.002,-0.018,-0.036,0.013,-0.016,0.025,0.028,0.014,0.026,-0.027,-0.032,0.042,0.009,0.022,0.033,-0.02,-0.02,0.007,-0.016,0.042,0.021,0.023,0.012,-0.004,-0.036,-0.02,-0.002,-0.003,0.005,0.011,-0.004,-0.036
1.0,0.012,0.051,0.012,-0.001,-0.024,0.028,0.029,-0.025,0.065,-0.07,-0.047,0.024,-0.034,-0.086,0.004,-0.023,0.084,-0.007,0.004,0.016,-0.032,-0.016,-0.006,0.013,-0.017,0.014,0.016,-0.023,-0.007,-0.028,0.021,-0.026,-0.021,-0.017,0.015,0.008,-0.013,-0.001,0.002,0.044,0.047,-0.025,0.051,-0.012,-0.001,0.003,-0.009,-0.022,0.002,-0.005,0.027,0.026,0.001,0.014,0.014,-0.014,-0.028,0.006,0.0,-0.005,0.007,-0.027,-0.02
1.0,0.01,-0.005,0.053,-0.031,-0.071,-0.01,-0.005,-0.026,-0.041,-0.014,-0.005,0.021,-0.064,-0.034,0.016,-0.024,0.02,-0.026,0.002,0.007,-0.006,-0.017,-0.003,0.047,-0.005,0.001,-0.021,-0.006,-0.011,-0.021,-0.002,-0.007,0.024,-0.015,-0.018,-0.011,0.081,0.022,-0.028,-0.008,-0.027,0.054,-0.049,0.014,-0.012,-0.021,-0.009,0.02,0.011,0.005,0.031,-0.013,-0.002,0.015,-0.051,-0.043,-0.031,0.005,-0.019,0.008,-0.019,-0.006,-0.001
1.0,-0.006,-0.03,0.013,0.006,0.0,-0.015,-0.011,-0.018,-0.013,0.014,-0.024,0.008,0.024,-0.02,0.001,-0.024,0.009,-0.003,0.014,-0.01,-0.017,-0.007,0.02,-0.008,-0.006,0.012,0.027,-0.016,0.047,-0.01,0.005,0.011,-0.047,-0.025,0.162,-0.004,-0.058,-0.036,0.092,-0.009,0.009,-0.02,0.047,0.041,-0.007,-0.032,-0.004,-0.034,0.004,0.006,0.076,0.007,0.02,-0.06,-0.029,0.042,0.014,-0.011,0.012,-0.044,0.054,0.017,0.032
1.0,-0.011,-0.005,-0.022,0.038,0.053,0.029,0.008,-0.001,0.014,-0.017,0.035,-0.069,0.035,0.021,0.031,0.01,0.006,-0.004,-0.01,0.02,-0.013,0.011,0.004,0.006,-0.003,-0.004,0.013,-0.006,0.008,0.007,-0.024,0.018,-0.004,-0.011,0.002,0.026,-0.003,-0.016,-0.06,0.057,0.002,-0.023,0.005,-0.008,0.017,-0.001,0.003,0.001,-0.021,0.007,0.009,0.013,-0.013,0.038,0.018,-0.016,0.005,0.014,-0.005,-0.016,-0.005,0.008,0.026
