GPP_Day,PARin_Day,fAPAR_Day,LE_Day,GPP_MDay,PARin_MDay,fAPAR_MDay,LE_MDay,LAI,LAIgreen,VF,TM_NDVI,TM_EVI2,TM_WDRVI_05,TM_WDRVI_1,TM_Green_NDVI,TM_VARI,TM_CIgreen,MODIS_CIgreen,MERIS_CIre,R_TM_blue,R_TM_green,R_TM_red,R_TM_IR,R_MODIS_green,R_Meris_RE,R_400,R_410,R_420,R_430,R_440,R_450,R_460,R_470,R_480,R_490,R_500,R_510,R_520,R_530,R_540,R_550,R_560,R_570,R_580,R_590,R_600,R_610,R_620,R_630,R_640,R_650,R_660,R_670,R_680,R_690,R_700,R_710,R_720,R_730,R_740,R_750,R_760,R_770,R_780,R_790,R_800,R_810,R_820,R_830,R_840,R_850,R_860,R_870,R_880,R_890,R_900
0.545,693.748,0.12,-108.48,0.823,1314.533,0.094,-172.517,0.355,0.346,5.963,0.207,0.108,-0.859,-0.736,0.334,-0.136,1.002,1.07,0.337,7.057,9.302,12.241,18.625,8.996,13.93,4.963,5.199,5.426,5.706,5.956,6.243,6.482,6.683,6.918,7.126,7.385,7.645,7.977,8.313,8.653,9.003,9.332,9.647,9.947,10.312,10.53,10.748,11.033,11.322,11.614,11.932,12.192,12.566,12.851,13.21,13.684,14.177,14.767,15.22,15.616,16.105,16.463,16.915,17.306,17.711,17.961,18.56,18.573,19.044,19.334,19.393,19.574,20.157,19.74,19.856,18.793
0.701,829.099,0.369,-149.851,1.044,1407.15,0.29,-238.067,1.294,1.291,57.786,0.787,0.582,-0.409,-0.088,0.707,0.181,4.815,3.986,3.195,3.81,6.891,4.781,40.068,8.036,9.552,2.197,2.412,2.654,2.862,2.958,3.097,3.178,3.241,3.349,3.593,3.935,4.47,5.615,6.962,7.819,8.244,8.045,7.259,6.463,5.894,5.717,5.476,5.159,5.069,4.968,4.728,4.549,4.441,4.554,5.159,7.509,11.596,17.394,25.301,32.966,37.794,38.273,40.949,41.193,41.38,41.351,41.039,39.311,39.934,40.97,41.18,41.08,40.483,39.997,38.642,35.236
1.054,939.362,0.59,-260.578,1.729,1700.267,0.636,-462.9,2.537,2.531,63.43,0.858,0.643,-0.209,0.134,0.785,0.224,7.309,6.038,4.877,2.788,5.002,3.174,41.559,5.905,7.072,1.7,1.893,2.106,2.259,2.306,2.374,2.443,2.473,2.504,2.572,2.74,3.173,4.022,5.097,5.759,6.055,5.902,5.241,4.569,4.251,4.119,3.893,3.567,3.449,3.336,3.139,2.993,2.89,2.956,3.457,5.273,8.87,14.291,22.554,31.428,37.543,40.317,42.133,42.297,42.77,42.86,42.76,42.412,42.396,42.326,42.157,42.431,41.549,40.572,39.436,36.971
1.635,1016.351,0.782,-263.682,2.59,1741.15,0.796,-441.5,4.488,4.475,79.25,0.887,0.601,-0.089,0.252,0.817,0.256,8.921,7.236,6.055,1.965,3.644,2.16,36.147,4.389,5.123,1.203,1.34,1.479,1.583,1.624,1.693,1.729,1.739,1.76,1.8,1.915,2.212,2.87,3.76,4.279,4.504,4.384,3.824,3.272,3.009,2.89,2.706,2.49,2.418,2.334,2.154,2.005,1.908,1.958,2.345,3.706,6.541,11.265,18.429,26.232,32.263,35.097,36.908,37.467,37.831,37.746,37.66,36.653,36.851,36.998,36.536,36.58,35.921,35.111,34.053,30.798
1.683,765.083,0.815,-201.912,2.865,1306.317,0.911,-384.433,5.721,5.665,89.24,0.926,0.809,0.129,0.443,0.869,0.288,13.326,10.698,9.057,1.977,3.714,2.051,53.205,4.548,5.291,1.256,1.398,1.542,1.654,1.665,1.722,1.752,1.749,1.75,1.786,1.907,2.22,2.928,3.897,4.45,4.674,4.521,3.882,3.266,2.968,2.84,2.634,2.399,2.324,2.227,2.048,1.89,1.778,1.839,2.253,3.729,6.852,12.525,21.796,33.05,43.149,49.707,51.695,52.947,53.877,54.147,54.55,54.804,53.928,54.208,54.118,54.646,54.121,53.088,52.213,50.021
1.862,979.468,0.936,-243.892,2.741,1529.7,0.931,-394.95,6.07,5.984,90.832,0.912,0.731,0.042,0.37,0.849,0.281,11.223,9.055,7.835,2.018,3.797,2.133,46.414,4.616,5.253,1.212,1.353,1.495,1.608,1.655,1.733,1.778,1.79,1.804,1.833,1.95,2.271,2.985,3.946,4.511,4.739,4.598,3.988,3.376,3.079,2.953,2.747,2.493,2.412,2.317,2.135,1.972,1.852,1.917,2.328,3.804,6.703,11.852,20.284,30.519,39.689,44.448,47.403,48.217,49.014,48.599,48.487,47.449,47.495,47.768,47.661,46.898,45.819,44.869,42.913,39.171
2.1,997.24,0.885,-279.796,3.346,1679.333,0.946,-484.483,6.248,6.066,87.42,0.923,0.75,0.111,0.429,0.867,0.281,13.036,10.57,9.011,1.785,3.383,1.9,47.484,4.104,4.743,1.04,1.171,1.313,1.425,1.448,1.521,1.554,1.565,1.58,1.621,1.737,2.031,2.668,3.514,4.005,4.221,4.086,3.539,3.017,2.757,2.639,2.455,2.236,2.161,2.083,1.91,1.754,1.636,1.685,2.068,3.383,6.103,11.067,19.099,29.478,38.866,44.563,47.468,48.465,49.372,49.572,49.633,49.202,48.687,48.721,48.293,48.311,47.268,46.212,44.845,41.65
1.421,604.167,0.887,-183.659,2.107,919.983,0.95,-260.9,6.301,6.06,89.512,0.911,0.743,0.035,0.364,0.86,0.235,12.267,10.093,8.35,1.968,3.596,2.226,47.707,4.301,5.102,1.111,1.257,1.401,1.545,1.59,1.684,1.738,1.754,1.756,1.787,1.911,2.228,2.889,3.739,4.219,4.416,4.267,3.726,3.219,2.997,2.89,2.734,2.542,2.48,2.418,2.247,2.069,1.949,1.996,2.423,3.789,6.416,11.086,19.085,29.743,39.714,45.145,48.458,50.086,50.768,50.86,50.651,48.517,49.271,49.349,49.492,47.958,47.511,46.413,43.863,37.258
1.337,607.612,0.888,-139.146,2.478,1138.383,0.95,-255.233,6.295,5.985,92.599,0.9,0.838,-0.026,0.31,0.857,0.188,11.956,10.084,7.699,2.53,4.544,3.104,58.877,5.312,6.769,1.301,1.496,1.697,1.861,1.951,2.103,2.172,2.229,2.263,2.333,2.525,2.926,3.687,4.652,5.207,5.428,5.301,4.724,4.16,3.938,3.801,3.622,3.405,3.364,3.293,3.096,2.922,2.794,2.846,3.409,5.146,8.391,14.186,23.956,36.496,47.702,54.25,58.341,59.554,61.031,61.247,61.592,60.148,60.212,60.803,60.593,60.757,59.47,58.38,56.357,50.415
1.877,1011.912,0.821,-256.702,2.783,1659.983,0.948,-472.183,6.284,5.815,92.761,0.885,0.64,-0.099,0.243,0.842,0.169,10.659,9.093,6.848,1.974,3.398,2.415,39.621,3.926,5.049,1.209,1.32,1.455,1.575,1.633,1.709,1.754,1.779,1.799,1.833,1.952,2.214,2.749,3.419,3.824,4.014,3.939,3.557,3.176,2.991,2.916,2.785,2.636,2.588,2.536,2.4,2.284,2.186,2.254,2.656,3.875,6.222,10.254,16.748,24.854,32.051,36.279,38.504,39.39,40.528,40.453,40.995,40.378,40.342,40.68,40.849,40.814,40.177,39.504,38.966,36.458
